Given credit (NT$);Education;Age;Past, monthly payment (-1);Past, monthly payment (-2);Past, monthly bill (-1);Past, monthly bill (-2);Prev. payment in NT$ (-1);Prev. payment in NT$ (-2);Y;Gender_female;Gender_male;Marital status_married;Marital status_others;Marital status_single
0.1568627450980392;0.2407407407407407;0.2361497128034093;0.18893422461440518;0.13788718321373422;0.13320309031169522;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0784313725490196;0.2962962962962963;0.3389325088011858;0.38690279827531326;0.18166954310109912;0.17929135955954179;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0784313725490196;0.2962962962962963;0.43974082823790994;0.438041496657696;0.22708692887637388;0.16117573927715123;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.1764705882352941;0.03703703703703709;0.13561353529738743;0.10995167404577944;0.034517213189208834;0.053370038184885886;2.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0;1.0
0.2549019607843137;0.12962962962962965;0.13219149527515286;0.18933356483491043;0.3023889544917795;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0196078431372549;0.2592592592592593;0.06684848063739114;0.10775240906328674;0.0;0.0;3.0;-2.0;-2.0;0.0;0.0;1.0;0.0;0.0;1.0
0.37254901960784315;0.2407407407407407;0.1309639614600704;0.16439505744132882;0.20946498319556728;0.0010656247224935618;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.47058823529411764;0.14814814814814814;0.47730220492866404;0.495864803078971;0.27250431465164865;0.26640618062339044;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0196078431372549;0.05555555555555558;0.15587942375393737;0.2119859941545852;0.2906712689617586;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
0.6862745098039215;0.5185185185185185;0.06684848063739114;0.10775240906328674;0.0;0.0;1.0;1.0;-2.0;0.0;1.0;0.0;1.0;0.0;0.0
0.3333333333333333;0.14814814814814814;0.06684848063739114;0.10775240906328674;0.0;0.0;1.0;1.0;-2.0;0.0;1.0;0.0;0.0;0.0;1.0
0.23529411764705882;0.33333333333333337;0.28895103761348895;0.2679978007350175;0.27250431465164865;0.13648876653938372;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.21568627450980393;0.33333333333333337;0.06867820085232536;0.10958127152241225;0.02870378780997366;0.028061451025663795;2.0;-1.0;-1.0;1.0;1.0;0.0;1.0;0.0;0.0
0.1568627450980392;0.03703703703703709;0.0943174448767834;0.14867031281650606;0.5229357798165138;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0784313725490196;0.03703703703703709;0.3425803687233648;0.34972943253175914;0.1792170042692343;0.12663173785631826;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.09803921568627451;0.11111111111111116;0.06621734296831573;0.1052927048065515;0.0;0.08880206020779682;1.0;1.0;-2.0;1.0;0.0;1.0;0.0;0.0;1.0
0.0784313725490196;0.16666666666666674;0.19736659255141747;0.20115172034609485;0.11808520301571443;0.11544267827013587;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0784313725490196;0.4814814814814815;0.0706121456364647;0.1275168562085829;0.3102007448451267;0.30379184797087294;3.0;-1.0;-1.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0784313725490196;0.09259259259259262;0.15560728182323513;0.20368087507596144;0.13625215732582432;0.13320309031169522;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.1764705882352941;0.20370370370370372;0.6055505373355567;0.5943166362820846;0.27459351439731133;0.3117840333895746;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.29411764705882354;0.16666666666666674;0.24209051324810077;0.10699424139826953;0.011899355073121991;0.03516561584228754;1.0;-1.0;-1.0;0.0;0.0;1.0;0.0;0.0;1.0
0.09803921568627451;0.018518518518518545;0.1540149620159348;0.16450502069045345;0.13625215732582432;0.13480152739543558;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0784313725490196;0.07407407407407407;0.06684848063739114;0.11226668981682437;0.07085112180942865;0.0;1.0;1.0;-1.0;1.0;0.0;1.0;0.0;0.0;1.0
0.5294117647058822;0.18518518518518523;0.06973202705206596;0.16027432936886882;0.8243255518212372;0.0;1.0;-1.0;-1.0;0.0;0.0;1.0;0.0;0.0;1.0
0.1176470588235294;0.07407407407407407;0.45781221048730775;0.4955117631738866;0.27250431465164865;0.3996092709350857;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.018518518518518545;0.07771678710394664;0.12617993460080446;0.13625215732582432;0.2599236302282213;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.2549019607843137;0.2962962962962963;0.41139174541411894;0.46394073559626126;0.27250431465164865;0.26640618062339044;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.058823529411764705;0.16666666666666674;0.17644061515656845;0.23099806117429175;0.27250431465164865;0.4440103010389841;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.39215686274509803;0.14814814814814814;0.06684848063739114;0.10775240906328674;0.0;0.0;1.0;-2.0;-2.0;1.0;0.0;1.0;0.0;0.0;1.0
0.0196078431372549;0.018518518518518545;0.14807416157124328;0.20315420898804873;0.27250431465164865;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
0.0196078431372549;0.05555555555555558;0.16787103946637022;0.21470035014613537;0.11972022890362431;0.11677470917325282;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
0.1764705882352941;0.40740740740740744;0.4232907170650361;0.40386028879821745;0.18166954310109912;0.14261610869372168;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.588235294117647;0.5185185185185185;0.1448142486566611;0.1532829817403131;0.7153238259605778;0.6748956575792558;2.0;-2.0;-2.0;0.0;1.0;0.0;1.0;0.0;0.0
0.9607843137254901;0.4444444444444444;0.07787891421159904;0.1288190525797957;0.33063856844400036;0.014385933753663085;1.0;-2.0;-2.0;0.0;1.0;0.0;1.0;0.0;0.0
0.3333333333333333;0.2407407407407407;0.1617275801371132;0.1991550192435686;0.7720955581796712;0.13320309031169522;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.9607843137254901;0.12962962962962965;0.19914420048174913;0.24455826605318748;0.13770551367063313;0.11544267827013587;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
0.1176470588235294;0.33333333333333337;0.47679845284417266;0.5248025002170327;0.365609955490962;0.18604031613533434;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
0.0784313725490196;0.462962962962963;0.23313299055030573;0.2765517840090286;0.09083477155054956;0.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
