Given credit (NT$),Education,Age,"Past, monthly payment (-1)","Past, monthly payment (-2)","Past, monthly bill (-1)","Past, monthly bill (-2)",Prev. payment in NT$ (-1),Prev. payment in NT$ (-2),Gender_female,Gender_male,Marital status_married,Marital status_others,Marital status_single,P0,P1
0.4599999999999999,0.5,0.25,0.3333333333333333,0.0760417985338289,0.1154628395458932,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.8782299,0.12177006
0.4599999999999999,0.5,0.25,0.3333333333333333,0.0760417985338289,0.8861630739532105,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.3196876,0.6803124
0.4599999999999999,1.0,0.25,0.3333333333333333,0.0760417985338289,0.4904456037137473,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.12206042,0.8779396
0.4599999999999999,0.5,1.0,0.3333333333333333,0.0760417985338289,0.6371742427724411,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.33068985,0.66931015
0.4599999999999999,1.0,0.25,0.3333333333333333,0.0760417985338289,0.2094498322379004,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.116491616,0.8835084
0.4599999999999999,0.5,1.0,0.3333333333333333,0.0760417985338289,0.21409201636255,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.3537382,0.6462618
0.4599999999999999,1.0,0.25,0.3333333333333333,0.0760417985338289,0.1154628395458932,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.38963002,0.61037
0.4599999999999999,1.0,0.25,0.3333333333333333,0.0760417985338289,0.5676966033920118,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.08821374,0.91178626
0.4599999999999999,0.5,0.25,0.3333333333333333,0.0760417985338289,0.9217320862251228,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.29192203,0.70807797
0.4599999999999999,1.0,0.25,0.3333333333333333,0.0760417985338289,0.5400273475203383,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.11238104,0.88761896
0.4599999999999999,0.5,0.25,0.3333333333333333,0.0760417985338289,0.6234257939973341,0.1332432432432432,0.1344545454545454,1.0,1.0,0.0,1.0,0.0,0.0,0.41095364,0.58904636
