Given credit (NT$),Education,Age,"Past, monthly payment (-1)","Past, monthly payment (-2)","Past, monthly bill (-1)","Past, monthly bill (-2)",Prev. payment in NT$ (-1),Prev. payment in NT$ (-2),Gender_female,Gender_male,Marital status_married,Marital status_others,Marital status_single,P0,P1
0.5686274509803921,0.5555555555555556,0.8955554011487863,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9750867,0.02491329
0.1568627450980392,0.5555555555555556,0.0691066796368352,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.39447933,0.60552067
0.1176470588235294,0.5555555555555556,0.0708784973133222,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41926903,0.580731
0.0392156862745098,0.5555555555555556,0.5252744580322402,0.961570738200654,0.2684167499318739,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.18447411,0.8155259
0.2549019607843137,0.037037037037037,0.8955554011487863,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.44869673,0.55130327
0.0784313725490196,0.5555555555555556,0.0627431906614786,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4722883,0.5277117
0.0784313725490196,0.5555555555555556,0.0690893088753011,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.42912382,0.5708762
0.0980392156862745,0.5555555555555556,0.0656904298684454,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.31051314,0.68948686
0.2549019607843137,0.5555555555555556,0.0668484806373911,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36162752,0.6383725
0.2549019607843137,0.5555555555555556,0.0691066796368352,0.961570738200654,0.7511127259514943,0.6060740609182133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.26643813,0.7335619
